ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Processing Fee,Withheld Tax
O-984300625639530,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/16/17,5:42 PM,16.4,0,2,0.98,2.91,22.29,-1.84,-0.98,0
O-996400655111562,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/19/17,6:16 PM,15.2,0,2,0.91,2.72,20.83,-1.72,-0.94,0
O-261000571323949,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/10/17,8:11 PM,19.5,0,2,1.17,3.4,26.07,-2.15,-1.1,0
O-247800667269630,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/20/17,2:04 PM,16.95,0,2,1.02,3,22.97,-1.9,-1,0
O-118100745895926,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/28/17,1:33 PM,26.2,0,2,1.57,10.23,40,-2.82,-1.52,0
O-907800688711436,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/21/17,8:10 PM,54.7,0,2,3.28,12,71.98,-5.67,-2.5,0
O-231200524235528,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/6/17,12:35 PM,40.2,0,2,2.41,6.69,51.3,-4.22,-1.86,0
O-984300585636069,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/12/17,4:09 PM,19.7,0,2,1.18,3.43,26.31,-2.17,-1.1,0
O-119700496604510,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/3/17,7:56 PM,19.55,0,2,1.17,4,26.72,-2.16,-1.11,0
O-401500598196444,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/12/17,10:34 PM,21.3,0,2,1.28,2.46,27.04,-2.33,-1.12,0
O-996400745167045,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/28/17,4:06 PM,22.7,0,2,1.36,7,33.06,-2.47,-1.31,0
O-451900656325658,Oriental Express - Centreville Crest Ln,?,,5/19/17,11:52 AM,17.25,0,2,1.04,3.04,23.33,-1.93,-1.01,0
O-907800758768820,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/29/17,1:09 PM,19.35,0,2,1.16,3.38,25.89,-2.14,-1.09,0
O-401500758191469,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/28/17,8:14 PM,20.5,0,2,1.23,3.56,27.29,-2.25,-1.13,0
O-293100671425800,Oriental Express - Centreville Crest Ln,Cash Order,,5/21/17,5:02 PM,25.85,0,2,1.55,0,29.4,-2.79,0,0
O-451900646323984,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/18/17,6:26 PM,46.9,0,2,2.81,7.76,59.47,-4.89,-2.11,0
O-261000491373849,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/3/17,12:15 PM,17.95,0,2,1.08,3.15,24.18,-2,-1.04,0
O-984300715677741,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,5:45 PM,16.25,0,2,0.98,2.88,22.11,-1.83,-0.97,0
O-984300705670304,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/24/17,7:30 PM,15,0,2,0.9,1.79,19.69,-1.7,-0.9,0
O-118100755844527,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/28/17,8:00 PM,20.7,0,2,1.24,3.59,27.53,-2.27,-1.14,0
O-321800521485007,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/5/17,10:03 PM,27.8,0,2,1.67,3.03,34.5,-2.98,-1.35,0
O-401500668195139,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/19/17,8:53 PM,21.75,0,2,1.31,3.94,29,-2.38,-1.18,0
O-293100581426294,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/12/17,7:01 PM,26.95,0,2,1.62,4.43,35,-2.9,-1.37,0
O-321800481412642,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/2/17,1:13 PM,6.75,0,0,0.41,0,7.16,-0.68,-0.52,0
O-247800717238391,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,6:33 PM,22.65,0,2,1.36,3,29.01,-2.47,-1.18,0
O-118100655898268,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/19/17,1:23 PM,15.45,0,2,0.93,0,18.38,-1.75,-0.86,0
O-170600778360842,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/31/17,4:32 PM,47.15,0,2,2.83,10.4,62.38,-4.92,-2.2,0
O-401500678159906,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/21/17,12:26 PM,51.15,0,2,3.07,8.43,64.65,-5.32,-2.27,0
O-996400715136994,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/24/17,9:44 PM,20.3,0,2,1.22,4.7,28.22,-2.23,-1.16,0
O-321800471489246,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/1/17,3:58 PM,17.7,0,2,1.06,3.11,23.87,-1.97,-1.03,0
O-984300635670590,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/17/17,7:05 PM,24.55,0,2,1.47,2.8,30.82,-2.66,-1.24,0
O-895600523846028,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/5/17,9:16 PM,21.35,0,2,1.28,2.46,27.09,-2.34,-1.13,0
P-44702557,Oriental Express - Centreville Crest Ln,Phone Order,,5/3/17,3:40 PM,0,0,0,0,0,0,-2.57,0,0
O-293100721467576,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,8:27 PM,19.55,0,2,1.17,4.54,27.26,-2.16,-1.13,0
O-996400715111457,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,6:13 PM,15.9,0,2,0.95,3.77,22.62,-1.79,-0.99,0
O-863100644999903,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/18/17,5:35 PM,35.05,0,2,2.1,5.87,45.02,-3.71,-1.67,0
O-350400579136321,Oriental Express - Centreville Crest Ln,?,,5/11/17,3:28 PM,24.25,0,2,1.46,4.16,31.87,-2.63,-1.27,0
O-247800667277833,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/20/17,7:40 PM,22.4,0,2,1.34,5.15,30.89,-2.44,-1.24,0
O-261000501308123,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/4/17,7:36 PM,32.7,0,2,1.96,5,41.66,-3.47,-1.57,0
O-984300675678438,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/21/17,2:30 PM,16.5,0,2,0.99,2.92,22.41,-1.85,-0.98,0
O-451900716370797,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,7:52 PM,15.2,0,2,0.91,2.72,20.83,-1.72,-0.94,0
O-984300715677987,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/25/17,5:31 PM,27.4,0,0,1.64,0,29.04,-2.74,-1.19,0
O-712700522374187,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/5/17,8:44 PM,21.75,0,2,1.31,3.94,29,-2.38,-1.18,0
O-451900646388127,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/17/17,9:29 PM,18.2,0,2,1.09,0,21.29,-2.02,-0.95,0
O-321800511418542,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/5/17,12:57 PM,28.65,0,2,1.72,7.63,40,-3.07,-1.52,0
O-118100695843496,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/23/17,12:21 PM,18.65,0,2,1.12,4.35,26.12,-2.07,-1.1,0
O-996400595134895,Oriental Express - Centreville Crest Ln,Prepaid Order,,5/12/17,8:13 PM,15.5,0,2,0.93,0,18.43,-1.75,-0.86,0
