ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Processing Fee,Withheld Tax
O-C8B-458-1486170200900,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/3/17,8:03 PM,21.1,0,2,1.27,2.44,26.81,-2.31,-1.12,0
O-R0A-294028-1487031689143,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/13/17,7:21 PM,20.5,0,2,1.23,4.75,28.48,-2.25,-1.17,0
O-SDS-226111-1486947818467,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/12/17,8:03 PM,20.75,0,2,1.25,3,27,-2.28,-1.12,0
O-R0A-377714-1487293607011,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/16/17,8:06 PM,18.6,0,2,1.12,3.28,25,-2.06,-1.06,0
O-MOQ-306346-1487609500946,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/20/17,11:51 AM,16,0,2,0.96,2,20.96,-1.8,-0.94,0
O-ET4-628569-1488063344341,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/25/17,5:55 PM,15.2,0,2,0.91,2.72,20.83,-1.72,-0.94,0
O-8V1-431565-1487716109948,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/21/17,5:28 PM,24.25,0,2,1.46,4,31.71,-2.63,-1.27,0
O-CVB-467720-1487549452848,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/19/17,7:10 PM,27.7,0,2,1.66,6.27,37.63,-2.97,-1.45,0
O-CVB-498912-1487638207355,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/20/17,7:50 PM,21.55,0,2,1.29,4.97,29.81,-2.36,-1.21,0
P-42387716,Oriental Express - Centreville Crest Ln,Phone Order,,2/21/17,12:00 PM,0,0,0,0,0,0,-2.42,0,0
O-VRT-546221-1488151630427,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/17,6:27 PM,50.4,0,2,3.02,4.58,60,-5.24,-2.13,0
O-3Q9-286273-1487201010376,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/15/17,6:23 PM,15.2,0,2,0.91,2.72,20.83,-1.72,-0.94,0
O-8V1-232176-1487000841214,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/13/17,11:11 AM,34.2,0,0,2.05,3.63,39.88,-3.42,-1.52,0
