"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-443601368960693","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/29/17","7:48 PM","18.25","0","2.00","1.10","3.20","24.55","-2.53","-1.05","0"
"O-100501110025378","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/3/17","8:18 PM","19.35","0","2.00","1.16","3.38","25.89","-2.14","-1.09","0"
"O-355101169445542","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/8/17","8:18 PM","17.40","0","2.00","1.04","3.07","23.51","-1.94","-1.02","0"
"O-428901100555685","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/2/17","9:27 PM","20.85","0","2.00","1.25","2.41","26.51","-2.29","-1.11","0"
"O-100501240071525","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/17/17","7:40 PM","15.95","0","2.00","0.96","2.84","21.75","-1.80","-0.96","0"
"O-428901230515443","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/16/17","6:51 PM","31.10","0","2.00","1.87","5.03","40.00","-3.31","-1.52","0"
"O-428901260596510","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/19/17","6:12 PM","18.50","0","2.00","1.11","4.32","25.93","-2.05","-1.09","0"
"O-355101299403049","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/22/17","6:29 PM","31.10","0","2.00","1.87","5.03","40.00","-3.31","-1.52","0"
"O-398601307785954","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/23/17","7:58 PM","61.30","0","2.00","3.68","3.50","70.48","-6.33","-2.45","0"
"O-848401273279263","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/20/17","7:09 PM","17.40","0","2.00","1.04","0","20.44","-1.94","-0.92","0"
"O-398601087772077","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/1/17","6:42 PM","35.70","0","2.00","2.14","5.98","45.82","-3.77","-1.70","0"
"O-398601097715219","Oriental Express - Centreville Crest Ln","Cash Order",,"7/1/17","10:38 PM","15.70","0","2.00","0.94","0","18.64","-1.77","0","0"
"O-398601147758643","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/7/17","4:52 PM","46.90","0","2.00","2.81","10.34","62.05","-4.89","-2.19","0"
"O-504701348512004","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/27/17","3:22 PM","16.75","0","2.00","1.01","3.00","22.76","-1.88","-0.99","0"
"O-848401323279119","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/25/17","7:08 PM","30.00","0","2.00","1.80","3.38","37.18","-3.20","-1.43","0"
"O-942601301084718","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/22/17","8:03 PM","15.30","0","2.00","0.92","0","18.22","-1.73","-0.86","0"
"O-942601311059669","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/24/17","7:38 PM","19.00","0","2.00","1.14","4.86","27.00","-2.10","-1.12","0"
"O-398601277755179","Oriental Express - Centreville Crest Ln","Cash Order",,"7/20/17","3:12 PM","21.45","0","2.00","1.29","0","24.74","-2.35","0","0"
"O-398601297717209","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/21/17","8:40 PM","21.75","0","2.00","1.31","3.94","29.00","-2.38","-1.18","0"
"O-100501160079264","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/9/17","4:38 PM","15.95","0","0.00","0.96","0","16.91","-1.60","-0.82","0"
"O-398601287775335","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/21/17","6:37 PM","34.65","0","2.00","2.08","3.87","42.60","-3.67","-1.60","0"
"O-428901150591588","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/8/17","6:05 PM","23.75","0","2.00","1.43","4.08","31.26","-2.58","-1.25","0"
"O-355101219403793","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/14/17","6:16 PM","37.95","0","2.00","2.28","8.45","50.68","-4.00","-1.85","0"
"O-398601247753230","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/17/17","6:33 PM","20.30","0","2.00","1.22","3.53","27.05","-2.23","-1.13","0"
"O-848401223286932","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/14/17","10:36 PM","15.50","0","2.00","0.93","1.00","19.43","-1.75","-0.89","0"
"O-355101289452137","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/21/17","5:27 PM","24.25","0","0.00","1.46","0","25.71","-2.43","-1.08","0"
"O-504701348510829","Oriental Express - Centreville Crest Ln","Cash Order",,"7/27/17","7:42 PM","15.25","0","2.00","0.92","0","18.17","-1.73","0","0"
"O-854101127310179","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/5/17","11:42 AM","15.25","0","2.00","0.92","2.50","20.67","-1.73","-0.93","0"
"O-100501120089151","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/5/17","2:50 PM","19.20","0","2.00","1.15","3.35","25.70","-2.12","-1.08","0"
"O-355101369451489","Oriental Express - Centreville Crest Ln","Prepaid Order",,"7/29/17","3:01 PM","15.80","0","2.00","0.95","2.81","21.56","-2.23","-0.96","0"
