"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-558302021801962","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/3/17","7:16 PM","15.20","0","2.00","0.91","3.62","21.73","-2.15","-0.96","0"
"O-583802228494449","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/22/17","8:23 PM","19.00","0","2.00","1.14","4.86","27.00","-2.63","-1.12","0"
"O-281002081064917","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/9/17","5:28 PM","33.00","0","2.00","1.98","5.55","42.53","-4.38","-1.60","0"
"O-046602282423261","Oriental Express - Centreville Crest Ln","Cash Order",,"10/29/17","6:09 PM","25.05","0","2.00","1.50","0","28.55","-3.38","0","0"
"O-229302305256193","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/31/17","5:04 PM","40.15","0","2.00","2.41","6.68","51.24","-5.27","-1.86","0"
"O-196802268439841","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/27/17","11:30 AM","15.50","0","2.00","0.93","2.76","21.19","-2.19","-0.95","0"
"O-312402015738417","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/2/17","4:48 PM","16.40","0","2.00","0.98","2.91","22.29","-2.30","-0.98","0"
"O-746802211256237","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/22/17","4:04 PM","25.95","0","2.00","1.56","8.85","38.36","-3.49","-1.47","0"
"O-046602252485175","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/26/17","4:45 PM","44.40","0","2.00","2.66","5.00","54.06","-5.80","-1.95","0"
"O-367402066756826","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/7/17","5:11 PM","34.25","0","2.00","2.06","3.69","42.00","-4.53","-1.58","0"
"O-899902271128110","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/28/17","7:00 PM","68.55","0","2.00","4.11","11.20","85.86","-8.82","-2.92","0"
"O-546802099257035","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/10/17","7:33 PM","19.00","0","2.00","1.14","4.86","27.00","-2.63","-1.12","0"
"O-091502149900144","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/17","10:27 PM","15.70","0","2.00","0.94","3.73","22.37","-2.21","-0.98","0"
"O-367402016755339","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/2/17","5:56 PM","21.90","0","2.00","1.31","2.20","27.41","-2.99","-1.14","0"
"O-367402026750363","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/3/17","6:38 PM","22.95","0","2.00","1.38","3.95","30.28","-3.12","-1.22","0"
"O-263702074618713","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/8/17","7:40 PM","25.75","0","2.00","1.55","5.00","34.30","-3.47","-1.35","0"
"O-052802153302775","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/16/17","2:39 PM","12.20","0","0.00","0.73","2.59","15.52","-1.53","-0.77","0"
