"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-250000323586051","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/15/17","9:54 PM","15.85","0","2.00","0.95","2.00","20.80","-1.79","-0.93","0"
"O-A02-65502-1491080984295","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/1/17","5:09 PM","20.70","0","2.00","1.24","3.59","27.53","-2.27","-1.14","0"
"O-486500425218949","Oriental Express - Centreville Crest Ln","Cash Order",,"4/26/17","11:09 AM","22.25","0","2.00","1.34","0","25.59","-2.43","0","0"
"O-A02-106955-1491181703901","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/2/17","9:08 PM","16.90","0","2.00","1.01","2.99","22.90","-1.89","-1.00","0"
"O-634000232948519","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/7/17","6:16 PM","20.00","0","2.00","1.20","3.48","26.68","-2.20","-1.11","0"
"O-245400450608107","Oriental Express - Centreville Crest Ln","Cash Order",,"4/28/17","8:32 PM","28.45","0","2.00","1.71","0","32.16","-3.05","0","0"
"O-250000413594427","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/25/17","1:15 PM","6.75","0","0.00","0.41","0","7.16","-0.68","-0.52","0"
"O-053200288728424","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/12/17","12:51 PM","15.20","0","2.00","0.91","3.62","21.73","-1.72","-0.96","0"
"O-486500385224323","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/22/17","6:57 PM","28.45","0","2.00","1.71","6.43","38.59","-3.05","-1.48","0"
"O-41Z-103361-1491170160442","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/2/17","5:56 PM","32.40","0","2.00","1.94","5.45","41.79","-3.44","-1.57","0"
"O-539000389978938","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/21/17","10:13 PM","25.75","0","2.00","1.55","5.86","35.16","-2.78","-1.37","0"
"O-486500325216048","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/16/17","4:32 PM","20.40","0","2.00","1.22","2.36","25.98","-2.24","-1.09","0"
"O-539000359908162","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/19/17","5:21 PM","4.95","0","0.00","0.30","0","5.25","-0.50","-0.46","0"
"O-634000242916263","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/7/17","9:00 PM","27.10","0","2.00","1.63","4.61","35.34","-2.91","-1.38","0"
"O-250000253595223","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/9/17","1:22 PM","18.70","0","2.00","1.12","0","21.82","-2.07","-0.97","0"
"O-WH0-7042-1491260244480","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/3/17","6:57 PM","35.30","0","2.00","2.12","3.94","43.36","-3.73","-1.62","0"
"O-245400370624906","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/21/17","7:37 PM","22.35","0","2.00","1.34","4.31","30.00","-2.44","-1.21","0"
"O-X5R-77287-1491087187054","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/1/17","6:53 PM","37.65","0","2.00","2.26","0","41.91","-3.97","-1.58","0"
"O-250000303586701","Oriental Express - Centreville Crest Ln","Cash Order",,"4/13/17","9:30 PM","15.25","0","2.00","0.92","0","18.17","-1.73","0","0"
"O-732900350856425","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/19/17","7:41 PM","17.95","0","2.00","1.08","2.00","23.03","-2.00","-1.00","0"
"O-486500425213760","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/26/17","4:27 PM","31.20","0","2.00","1.87","5.26","40.33","-3.32","-1.53","0"
"O-634000342912632","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/17/17","8:31 PM","15.60","0","2.00","0.94","2.46","21.00","-1.76","-0.94","0"
"O-41Z-111542-1491177891313","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/2/17","8:04 PM","21.20","0","2.00","1.27","3.53","28.00","-2.32","-1.15","0"
"O-053200258730786","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/9/17","5:02 PM","29.45","0","2.00","1.77","4.98","38.20","-3.15","-1.47","0"
"O-250000303518107","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/14/17","5:40 PM","17.60","0","2.00","1.06","3.10","23.76","-1.96","-1.02","0"
"O-621400385083688","Oriental Express - Centreville Crest Ln","Cash Order",,"4/21/17","9:48 PM","15.00","0","2.00","0.90","0","17.90","-1.70","0","0"
"O-634000332913949","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/16/17","8:13 PM","31.05","0","2.00","1.86","5.24","40.15","-3.31","-1.52","0"
"O-732900320839696","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/15/17","10:42 PM","17.60","0","2.00","1.06","0","20.66","-1.96","-0.93","0"
"O-634000312918759","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/14/17","9:52 PM","25.45","0","2.00","1.53","3.75","32.73","-2.75","-1.30","0"
"O-732900310823072","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/15/17","4:41 PM","16.55","0","2.00","0.99","2.93","22.47","-1.86","-0.99","0"
