ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Processing Fee,Withheld Tax
O-394302866989997,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/26/17,12:12 PM,17.45,0,2,1.05,3.08,23.58,-2.43,-1.02,0
O-624802618460646,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/1/17,1:52 PM,16.8,0,2,1.01,3.96,23.77,-2.35,-1.02,0
O-394302656901142,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/5/17,6:53 PM,33.5,0,2,2.01,5.63,43.14,-4.44,-1.62,0
O-942702632213776,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/3/17,1:35 PM,25.05,0,2,1.5,4.28,32.83,-3.38,-1.3,0
O-109802633940329,Oriental Express - Centreville Crest Ln,Cash Order,,12/3/17,4:39 PM,22.05,0,2,1.32,0,29.18,-3.01,0,0
O-112902822866450,Oriental Express - Centreville Crest Ln,Cash Order,,12/22/17,2:52 PM,20.3,0,2,1.22,0,23.52,-2.79,0,0
O-109802783987261,Oriental Express - Centreville Crest Ln,Cash Order,,12/18/17,5:57 PM,20.4,0,2,1.22,0,23.62,-2.8,0,0
O-112902912861753,Oriental Express - Centreville Crest Ln,Cash Order,,12/30/17,8:15 PM,19.5,0,2,1.17,0,22.67,-2.69,0,0
O-093002722920991,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/11/17,7:08 PM,23.25,0,2,1.4,4,30.65,-3.16,-1.23,0
O-109802923917331,Oriental Express - Centreville Crest Ln,Cash Order,,12/31/17,9:18 PM,20.05,0,2,1.2,0,23.25,-2.76,0,0
O-654702861258555,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/25/17,7:50 PM,25.75,0,2,1.55,5.86,35.16,-3.47,-1.37,0
O-306402624671986,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/2/17,11:19 AM,21.75,0,2,1.31,3.76,28.82,-2.97,-1.18,0
O-200602858809364,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/24/17,9:26 PM,16.6,0,2,1,16,35.6,-2.33,-1.39,0
O-654702861256290,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/26/17,5:14 PM,27.75,0,2,1.67,3.14,34.56,-3.72,-1.35,0
O-676502818957210,Oriental Express - Centreville Crest Ln,,,12/21/17,6:27 PM,24.75,0,0,1.49,0,26.24,-3.09,-1.1,0
O-676502728961885,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/12/17,12:32 PM,21.95,0,2,1.32,3.79,29.06,-2.99,-1.19,0
P-51446224,Oriental Express - Centreville Crest Ln,Phone Order,,12/23/17,7:20 PM,0,0,0,0,0,0,-3.29,0,0
O-517702680731048,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/8/17,5:37 PM,21.95,0,0,1.32,0,23.27,-2.74,-1.01,0
O-109802763910481,Oriental Express - Centreville Crest Ln,Prepaid Order,,12/15/17,10:06 PM,18,0,2,1.08,4.22,25.3,-2.5,-1.07,0
