"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-572404244910501","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/12/18","8:19 PM","34.55","0","2.00","2.07","7.72","46.34","-5.48","-1.71","0"
"O-777704343448491","Oriental Express - Centreville Crest Ln","Cash Order",,"5/23/18","5:27 PM","29.25","0","2.00","1.76","0","33.01","-4.69","0","0"
"O-974304214649057","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/10/18","4:15 PM","50.40","0","2.00","3.02","11.08","66.50","-7.86","-2.33","0"
"O-500504246886539","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/13/18","4:52 PM","24.00","0","2.00","1.44","2.74","30.18","-3.90","-1.22","0"
"O-388404165071413","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/5/18","6:52 PM","35.10","0","2.00","2.11","5.88","45.09","-5.57","-1.68","0"
"O-572404224973351","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/18","5:59 PM","34.75","0","2.00","2.09","7.77","46.61","-5.51","-1.72","0"
"O-778604177066258","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/6/18","4:48 PM","15.60","0","2.00","0.94","1.85","20.39","-2.64","-0.92","0"
"O-202204418904778","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/30/18","5:48 PM","29.05","0","2.00","1.74","4.92","37.71","-4.66","-1.45","0"
"O-552504392912888","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/28/18","7:36 PM","25.75","0","2.00","1.55","5.86","35.16","-4.16","-1.37","0"
"O-716804263250836","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/14/18","9:15 PM","18.50","0","2.00","1.11","4.32","25.93","-3.08","-1.09","0"
"O-716504429324752","Oriental Express - Centreville Crest Ln","Cash Order",,"5/30/18","8:13 PM","21.00","0","2.00","1.26","0","24.26","-3.45","0","0"
"O-469604428578629","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/31/18","7:22 PM","15.85","0","2.00","0.95","2.40","21.20","-2.68","-0.95","0"
"O-322104267312200","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/15/18","7:29 PM","16.35","0","2.00","0.98","3.87","23.20","-2.75","-1.01","0"
"O-736904189556374","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/6/18","8:31 PM","17.10","0","2.00","1.03","2.01","22.14","-2.87","-0.98","0"
"O-208504339674614","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/22/18","5:08 PM","20.40","0","2.00","1.22","3.54","27.16","-3.36","-1.13","0"
"O-705304369830324","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/24/18","8:22 PM","17.60","0","2.00","1.06","4.00","24.66","-2.94","-1.05","0"
"O-572404224977383","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/18","6:51 PM","21.45","0","2.00","1.29","3.71","28.45","-3.52","-1.17","0"
"O-060304197983285","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/7/18","8:36 PM","22.70","0","2.00","1.36","5.21","31.27","-3.71","-1.25","0"
"O-886604377756925","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/26/18","6:25 PM","26.35","0","2.00","1.58","3.00","32.93","-4.25","-1.30","0"
"O-389304217955352","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/10/18","6:47 PM","15.90","0","2.00","0.95","3.77","22.62","-2.69","-0.99","0"
"O-242104420471686","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/31/18","5:26 PM","18.00","0","2.00","1.08","4.22","25.30","-3.00","-1.07","0"
"O-979904427451040","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/31/18","6:39 PM","16.20","0","2.00","0.97","3.83","23.00","-2.73","-1.00","0"
"O-774904383229109","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/18","7:08 PM","40.95","0","2.00","2.46","4.64","50.05","-6.44","-1.83","0"
"O-936904151369671","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/4/18","4:56 PM","41.80","0","2.00","2.51","6.95","53.26","-6.57","-1.92","0"
"O-936904121369838","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/1/18","7:05 PM","23.95","0","2.00","1.44","5.48","32.87","-3.89","-1.30","0"
"O-603104231421379","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/12/18","6:29 PM","16.20","0","2.00","0.97","2.88","22.05","-2.73","-0.97","0"
"O-415904270314180","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/16/18","6:49 PM","33.00","0","2.00","1.98","7.40","44.38","-5.25","-1.65","0"
"P-56881761","Oriental Express - Centreville Crest Ln","Phone Order",,"5/16/18","2:25 PM","0","0","0.00","0.00","0","0.00","-3.92","0","0"
"O-974304254646917","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/14/18","7:34 PM","22.60","0","2.00","1.36","3.89","29.85","-3.69","-1.21","0"
"O-700304260771955","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/15/18","7:27 PM","29.15","0","2.00","1.75","4.94","37.84","-4.67","-1.45","0"
"O-162704316263787","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/19/18","8:06 PM","16.25","0","2.00","0.98","3.85","23.08","-2.74","-1.00","0"
"O-211204379292409","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/26/18","2:47 PM","26.85","0","2.00","1.61","4.00","34.46","-4.33","-1.35","0"
"O-122904156818270","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/4/18","6:45 PM","30.20","0","2.00","1.81","3.40","37.41","-4.83","-1.44","0"
"O-705304389846870","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/18","5:40 PM","16.20","0","2.00","0.97","2.88","22.05","-2.73","-0.97","0"
"O-774904363221991","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/25/18","5:47 PM","16.15","0","2.00","0.97","2.87","21.99","-2.72","-0.97","0"
"P-56860724","Oriental Express - Centreville Crest Ln","Phone Order",,"5/15/18","8:30 PM","0","0","0.00","0.00","0","0.00","-3.92","0","0"
"O-974304274653432","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/16/18","11:16 AM","15.15","0","2.00","0.91","1.40","19.46","-2.57","-0.89","0"
"O-716804203253330","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/9/18","4:48 PM","19.50","0","2.00","1.17","2.33","25.00","-3.23","-1.06","0"
"O-300704301861814","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/19/18","6:44 PM","40.55","0","2.00","2.43","9.00","53.98","-6.38","-1.95","0"
"O-212904121118540","Oriental Express - Centreville Crest Ln","Adjustment of O-212904121118540","Change of plans. 
 Refund paid by Restaurant.","5/1/18","5:59 PM","-25.25","0","0.00","-1.52","0","-26.77","3.79","1.12","0"
"O-856304314630215","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","7:05 PM","23.20","0","2.00","1.39","3.99","30.58","-3.78","-1.23","0"
"O-321404314033793","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","6:40 PM","16.00","0","2.00","0.96","2.84","21.80","-2.70","-0.96","0"
"O-774904373229276","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/26/18","7:33 PM","19.50","0","2.00","1.17","4.53","27.20","-3.23","-1.13","0"
"O-500504206870411","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/9/18","6:43 PM","20.50","0","2.00","1.23","4.75","28.48","-3.38","-1.17","0"
"O-388404155071767","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/4/18","7:30 PM","24.35","0","2.00","1.46","2.78","30.59","-3.95","-1.23","0"
"O-921104346081903","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/23/18","11:18 AM","19.95","0","2.00","1.20","4.63","27.78","-3.29","-1.15","0"
"O-603904366710696","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/25/18","6:05 PM","15.70","0","2.00","0.94","5.00","23.64","-2.66","-1.02","0"
"O-655404314901934","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","7:28 PM","24.80","0","2.00","1.49","4.24","32.53","-4.02","-1.29","0"
"O-572404254918795","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/14/18","11:20 AM","23.75","0","2.00","1.43","5.44","32.62","-3.86","-1.29","0"
"O-603104231464335","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/18","10:12 PM","16.80","0","2.00","1.01","3.96","23.77","-2.82","-1.02","0"
"O-500504276875803","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/15/18","8:07 PM","42.30","0","2.00","2.54","4.68","51.52","-6.65","-1.87","0"
"O-322104217315248","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/10/18","6:55 PM","35.45","0","2.00","2.13","7.92","47.50","-5.62","-1.75","0"
"O-142904172189452","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/5/18","8:32 PM","25.45","0","2.00","1.53","4.35","33.33","-4.12","-1.32","0"
"O-211204399299030","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/18","8:31 PM","26.25","0","2.00","1.58","8.00","37.83","-4.24","-1.45","0"
"O-921104386088142","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/26/18","10:00 PM","20.20","0","2.00","1.21","3.51","26.92","-3.33","-1.12","0"
"O-202204398904447","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/28/18","5:15 PM","26.70","0","2.00","1.60","0","30.30","-4.31","-1.22","0"
"O-943104310156452","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","3:55 PM","29.85","0","2.00","1.79","3.36","37.00","-4.78","-1.43","0"
"O-921104366099094","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/25/18","6:35 PM","18.00","0","2.00","1.08","3.16","24.24","-3.00","-1.04","0"
"O-389304247915669","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/12/18","10:36 PM","15.70","0","2.00","0.94","3.73","22.37","-2.66","-0.98","0"
"O-999404327629408","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/21/18","7:02 PM","21.45","0","2.00","1.29","3.71","28.45","-3.52","-1.17","0"
"O-450604183548998","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/7/18","6:51 PM","49.85","0","2.00","2.99","8.23","63.07","-7.78","-2.22","0"
"O-500004149600384","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/3/18","4:53 PM","30.15","0","2.00","1.81","6.79","40.75","-4.82","-1.54","0"
"O-716804233240922","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/12/18","4:10 PM","17.35","0","2.00","1.04","4.08","24.47","-2.90","-1.05","0"
"O-202204348974247","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/22/18","8:38 PM","26.25","0","2.00","1.58","8.00","37.83","-4.24","-1.45","0"
"O-122904166818994","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/5/18","5:30 PM","11.00","0","0.00","0.66","2.00","13.66","-1.65","-0.72","0"
"O-202204388974031","Oriental Express - Centreville Crest Ln","Cash Order",,"5/26/18","8:44 PM","17.70","0","2.00","1.06","0","20.76","-2.96","0","0"
"O-943104320153891","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/21/18","7:19 PM","18.75","0","2.00","1.13","2.19","24.07","-3.11","-1.03","0"
"O-879204234937168","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/12/18","6:19 PM","35.85","0","2.00","2.15","0","40.00","-5.68","-1.52","0"
"O-322104247319317","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/13/18","2:13 PM","19.45","0","2.00","1.17","3.00","25.62","-3.22","-1.08","0"
"O-322104207398908","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/9/18","7:55 PM","18.50","0","2.00","1.11","2.16","23.77","-3.08","-1.02","0"
"O-539404164288827","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/5/18","3:22 PM","29.70","0","2.00","1.78","10.04","43.52","-4.76","-1.63","0"
"P-56764378","Oriental Express - Centreville Crest Ln","Phone Order",,"5/13/18","2:05 PM","0","0","0.00","0.00","0","0.00","-3.90","0","0"
"O-513104421544985","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/31/18","12:55 PM","22.35","0","2.00","1.34","3.85","29.54","-3.65","-1.20","0"
"O-382204160726412","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/4/18","9:45 PM","19.95","0","2.00","1.20","3.00","26.15","-3.29","-1.10","0"
"O-500504276875715","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/15/18","8:23 PM","17.50","0","2.00","1.05","3.08","23.63","-2.93","-1.02","0"
"O-212904141117006","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/2/18","8:21 PM","28.45","0","2.00","1.71","4.82","36.98","-4.57","-1.43","0"
"O-452904418999713","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/30/18","7:07 PM","6.30","0","0.00","0.38","0","6.68","-0.95","-0.50","0"
"O-809804315660432","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","6:19 PM","22.00","0","2.00","1.32","5.06","30.38","-3.60","-1.23","0"
"O-888904264511038","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/15/18","5:03 PM","37.95","0","2.00","2.28","6.33","48.56","-5.99","-1.78","0"
"O-389304227958924","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/18","6:21 PM","22.65","0","2.00","1.36","3.90","29.91","-3.70","-1.21","0"
"O-208504389664207","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/18","5:29 PM","24.00","0","2.00","1.44","5.49","32.93","-3.90","-1.30","0"
"O-212904191117331","Oriental Express - Centreville Crest Ln","Cash Order",,"5/7/18","8:58 PM","15.50","0","2.00","0.93","0","18.43","-2.63","0","0"
"O-415904310329387","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/18","6:52 PM","22.35","0","2.00","1.34","3.85","29.54","-3.65","-1.20","0"
"O-705304429833296","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/31/18","1:50 PM","21.40","0","2.00","1.28","3.70","28.38","-3.51","-1.17","0"
