"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-197405353208346","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/1/18","7:19 PM","24.90","0","2.00","1.49","4.26","32.65","-4.04","-1.30","0"
"O-195505566516956","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/22/18","5:52 PM","40.95","0","2.00","2.46","9.08","54.49","-6.44","-1.96","0"
"O-805605375308044","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/2/18","8:23 PM","21.20","0","2.00","1.27","2.45","26.92","-3.48","-1.12","0"
"O-480005555326271","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/20/18","8:48 PM","15.35","0","2.00","0.92","2.74","21.01","-2.60","-0.94","0"
"O-559505385425187","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/4/18","7:05 PM","21.25","0","2.00","1.28","8.00","32.53","-3.49","-1.29","0"
"O-604305641391867","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/29/18","9:02 PM","62.35","0","2.00","3.74","17.02","85.11","-9.65","-2.90","0"
"O-674005596040072","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/24/18","8:14 PM","33.15","0","2.00","1.99","5.57","42.71","-5.27","-1.60","0"
"O-956305532530947","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/19/18","5:18 PM","39.40","0","2.00","2.36","8.75","52.51","-6.21","-1.90","0"
"O-559505425411562","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/7/18","8:08 PM","38.05","0","2.00","2.28","6.35","48.68","-6.01","-1.78","0"
"O-805605375302929","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/3/18","1:14 PM","31.70","0","2.00","1.90","7.12","42.72","-5.06","-1.60","0"
"O-849305439857472","Oriental Express - Centreville Crest Ln","Prepaid Order",,"9/9/18","3:50 PM","33.30","0","2.00","2.00","5.60","42.90","-5.30","-1.61","0"
"O-439905648644980","Oriental Express - Centreville Crest Ln","Cash Order",,"9/29/18","10:33 PM","19.45","0","2.00","1.17","0","22.62","-3.22","0","0"
