"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-364205894248190","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/25/18","4:48 PM","21.45","0","2.00","1.29","2.25","26.99","-3.52","-1.12","0"
"O-744005782083619","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/18","7:31 PM","25.65","0","2.00","1.54","4.38","33.57","-4.15","-1.32","0"
"O-604305841398519","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/20/18","12:27 PM","17.30","0","0.00","1.04","0","18.34","-2.60","-0.86","0"
"O-986605778969879","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/13/18","7:44 PM","50.20","0","2.00","3.01","0","55.21","-7.83","-1.98","0"
"O-300005925016452","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/28/18","6:23 PM","17.30","0","2.00","1.04","3.05","23.39","-2.90","-1.01","0"
"O-443605793886167","Oriental Express - Centreville Crest Ln","Adjustment of O-443605793886167","This additional charge is for a change made to the order by a restaurant for 2 Free Cans of Soda Special.","10/15/18","1:25 PM","0","0","0.00","0.00","0","2.12","0","0","0"
"O-273205903988790","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/26/18","5:37 PM","8.05","0","0.00","0.48","0","8.53","-1.21","-0.56","0"
"O-604305781390228","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/13/18","10:19 PM","23.00","0","2.00","1.38","3.96","30.34","-3.75","-1.23","0"
"P-62055927","Oriental Express - Centreville Crest Ln","Phone Order",,"10/5/18","8:25 PM","0","0","0.00","0.00","0","0.00","-3.93","0","0"
"O-270205901617687","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/26/18","7:54 PM","17.40","0","2.00","1.04","5.11","25.55","-2.91","-1.08","0"
"O-263905899365745","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/25/18","2:30 PM","19.25","0","2.00","1.16","3.36","25.77","-3.19","-1.09","0"
"O-790305863429454","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/21/18","8:23 PM","26.30","0","2.00","1.58","4.12","34.00","-4.25","-1.34","0"
"O-763405763231525","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/12/18","12:37 PM","15.90","0","2.00","0.95","2.83","21.68","-2.69","-0.96","0"
"O-983505837342766","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/19/18","4:56 PM","20.50","0","2.00","1.23","3.56","27.29","-3.38","-1.13","0"
"O-983505657323223","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/1/18","12:33 PM","21.90","0","2.00","1.31","3.78","28.99","-3.59","-1.18","0"
"O-240705809383705","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/16/18","5:27 PM","31.10","0","2.00","1.87","6.99","41.96","-4.97","-1.58","0"
"P-62828295","Oriental Express - Centreville Crest Ln","Phone Order",,"10/27/18","1:40 PM","0","0","0.00","0.00","0","0.00","-4.05","0","0"
