"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-734703746656899","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/23/18","8:58 PM","17.20","0","2.00","1.03","2.02","22.25","-2.40","-0.98","0"
"O-866503748861671","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/18","6:59 PM","16.25","0","2.00","0.98","3.85","23.08","-2.28","-1.00","0"
"O-859603591167945","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/9/18","6:10 PM","18.70","0","2.00","1.12","3.27","25.09","-2.59","-1.07","0"
"O-958403595291489","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/9/18","6:00 PM","37.45","0","2.00","2.25","8.34","50.04","-4.93","-1.83","0"
"O-066203716912922","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/21/18","12:16 PM","15.90","0","2.00","0.95","0","18.85","-2.24","-0.87","0"
"O-917103702312876","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/20/18","2:01 PM","27.70","0","2.00","1.66","4.70","36.06","-3.71","-1.40","0"
"O-552803576175197","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/7/18","4:51 PM","25.85","0","2.00","1.55","4.41","33.81","-3.48","-1.33","0"
"O-069403602582963","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/9/18","7:08 PM","15.50","0","2.00","0.93","2.76","21.19","-2.19","-0.95","0"
"O-069403802575290","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/30/18","5:59 PM","28.60","0","2.00","1.72","6.46","38.78","-3.83","-1.48","0"
"O-982003767575002","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/26/18","6:38 PM","36.20","0","2.00","2.17","8.07","48.44","-4.78","-1.78","0"
"O-341203675496760","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/17/18","2:19 PM","28.20","0","2.00","1.69","6.38","38.27","-3.78","-1.47","0"
"O-552803686111038","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/18/18","11:45 AM","24.65","0","2.00","1.48","4.22","32.35","-3.33","-1.29","0"
"O-859603641104440","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/14/18","4:13 PM","18.70","0","2.00","1.12","4.36","26.18","-2.59","-1.10","0"
"O-982003707500588","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/20/18","11:29 AM","17.75","0","2.00","1.07","4.16","24.98","-2.47","-1.06","0"
"O-638003524098789","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/2/18","3:11 PM","18.95","0","2.00","1.14","4.42","26.51","-2.62","-1.11","0"
"O-866503618890879","Oriental Express - Centreville Crest Ln","Cash Order",,"3/10/18","8:04 PM","15.20","0","0.00","0.91","0","16.11","-1.90","0","0"
"P-54828728","Oriental Express - Centreville Crest Ln","Phone Order",,"3/21/18","3:05 PM","0","0","0.00","0.00","0","0.00","-3.07","0","0"
