"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-636004031702320","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/22/18","7:11 PM","23.30","0","2.00","1.40","5.34","32.04","-3.16","-1.28","0"
"O-324804048492123","Oriental Express - Centreville Crest Ln","Adjustment of O-324804048492123","This additional charge is due to the special instructions. 2 add'l eggs","4/23/18","12:44 PM","0","0","0.00","0.00","0","2.12","0","0","0"
"O-743504108487071","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/29/18","1:16 PM","48.85","0","2.00","2.93","5.38","59.16","-6.36","-2.10","0"
"O-081204028176822","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/21/18","11:25 AM","15.25","0","2.00","0.92","1.82","19.99","-2.16","-0.91","0"
"O-953704007052717","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/19/18","7:07 PM","20.20","0","0.00","1.21","0","21.41","-2.53","-0.95","0"
"O-589004038146483","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/22/18","6:15 PM","28.75","0","2.00","1.73","6.50","38.98","-3.84","-1.49","0"
"O-391003881989515","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/7/18","7:18 PM","37.70","0","2.00","2.26","6.29","48.25","-4.96","-1.77","0"
"O-324804048492123","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/23/18","12:34 PM","18.90","0","2.00","1.13","2.20","24.23","-2.61","-1.04","0"
"O-391003821969891","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/1/18","1:41 PM","37.95","0","2.00","2.28","8.45","50.68","-4.99","-1.85","0"
"O-429704094140362","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/28/18","5:58 PM","21.20","0","2.00","1.27","4.89","29.36","-2.90","-1.20","0"
"O-302604042553571","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/23/18","6:09 PM","28.50","0","2.00","1.71","4.83","37.04","-3.81","-1.43","0"
"O-429704094148926","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/27/18","8:17 PM","16.80","0","2.00","1.01","3.96","23.77","-2.35","-1.02","0"
"O-552803866116756","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/4/18","8:43 PM","23.25","0","2.00","1.40","3.00","29.65","-3.16","-1.20","0"
"O-826204105231488","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/29/18","6:25 PM","21.75","0","2.00","1.31","4.00","29.06","-2.97","-1.19","0"
"O-859603861101788","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/5/18","12:48 PM","17.00","0","2.00","1.02","2.00","22.02","-2.38","-0.97","0"
"O-988003954946325","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/14/18","1:24 PM","20.70","0","2.00","1.24","3.59","27.53","-2.84","-1.14","0"
"O-069403912572297","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/10/18","5:20 PM","25.85","0","2.00","1.55","2.94","32.34","-3.48","-1.29","0"
"O-056503912897389","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/10/18","3:11 PM","15.60","0","2.00","0.94","3.71","22.25","-2.20","-0.98","0"
"O-738503921306351","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/11/18","7:15 PM","20.10","0","2.00","1.21","4.00","27.31","-2.76","-1.13","0"
"O-953904072570426","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/26/18","3:47 PM","52.00","0","2.00","3.12","0","57.12","-6.75","-2.04","0"
"O-302604102551717","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/28/18","10:14 PM","15.35","0","2.00","0.92","2.74","21.01","-2.17","-0.94","0"
"O-917103852301699","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/4/18","7:49 PM","16.05","0","2.00","0.96","1.90","20.91","-2.26","-0.94","0"
"O-594403852253396","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/4/18","7:22 PM","18.20","0","2.00","1.09","2.00","23.29","-2.53","-1.01","0"
"O-081204088172038","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/27/18","4:37 PM","45.60","0","2.00","2.74","7.55","57.89","-5.95","-2.07","0"
"O-828504007584047","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/19/18","4:59 PM","9.25","0","0.00","0.56","0","9.81","-1.16","-0.60","0"
