"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-291110166889637","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/25/19","8:35 PM","21.90","0","2.00","1.31","3.78","28.99","-3.59","-1.18","0"
"O-048410197731640","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/29/19","7:38 PM","26.60","0","2.00","1.60","5.00","35.20","-4.29","-1.37","0"
"O-633310064470888","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/16/19","7:06 PM","21.85","0","2.00","1.31","3.00","28.16","-3.58","-1.16","0"
"O-291110156886619","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/25/19","3:32 PM","26.65","0","2.00","1.60","4.54","34.79","-4.30","-1.36","0"
"O-135509952901531","Oriental Express - Centreville Crest Ln","Adjustment of O-135509952901531","This refund is for item missing from order. 
Refund paid by Restaurant.","12/5/19","7:56 PM","0","0","0.00","0.00","0","-9.27","0","0","0"
"O-130910089715502","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/18/19","5:27 PM","15.25","0","2.00","0.92","2.73","20.90","-2.59","-0.94","0"
"O-135509952901531","Oriental Express - Centreville Crest Ln","Adjustment of O-135509952901531","This refund is for item missing from order. 
Refund paid by Restaurant.","12/5/19","9:43 PM","0","0","0.00","0.00","0","-1.33","0","0","0"
"O-676610039357746","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/13/19","2:50 PM","25.15","0","2.00","1.51","7.17","35.83","-4.07","-1.39","0"
"O-294510057569708","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/15/19","5:40 PM","38.65","0","2.00","2.32","4.30","47.27","-6.10","-1.74","0"
"O-480409998270299","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/8/19","8:01 PM","39.50","0","2.00","2.37","6.58","50.45","-6.23","-1.84","0"
"O-743810098250688","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/18/19","9:48 PM","16.55","0","2.00","0.99","2.93","22.47","-2.78","-0.99","0"
"O-647209976663629","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/6/19","10:09 PM","21.85","0","2.00","1.31","5.03","30.19","-3.58","-1.22","0"
"O-302610131667861","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/23/19","6:00 PM","43.05","0","2.00","2.58","7.14","54.77","-6.76","-1.97","0"
"O-235909923975140","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/2/19","7:15 PM","38.85","0","2.00","2.33","3.00","46.18","-6.13","-1.71","0"
"O-578009974296273","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/7/19","7:07 PM","47.75","0","2.00","2.87","7.89","60.51","-7.46","-2.15","0"
"O-896510153483894","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/25/19","6:50 PM","68.55","0","0.00","4.11","0","72.66","-10.28","-2.52","0"
"O-310709946071717","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/4/19","5:05 PM","27.95","0","2.00","1.68","6.33","37.96","-4.49","-1.46","0"
"O-048410097737904","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/19/19","7:45 PM","47.60","0","2.00","2.86","7.87","60.33","-7.44","-2.14","0"
"O-194610147644455","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/24/19","1:26 PM","30.90","0","2.00","1.85","5.21","39.96","-4.94","-1.52","0"
"O-130910129779583","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/22/19","6:20 PM","62.70","0","2.00","3.76","6.85","75.31","-9.71","-2.60","0"
"O-258209910518217","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/1/19","5:39 PM","43.10","0","2.00","2.59","6.00","53.69","-6.77","-1.94","0"
"O-890910062108578","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/16/19","6:50 PM","21.00","0","2.00","1.26","4.85","29.11","-3.45","-1.19","0"
"O-775909918777571","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/1/19","3:10 PM","19.30","0","2.00","1.16","4.49","26.95","-3.20","-1.12","0"
"O-182210104676333","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/19/19","9:07 PM","27.10","0","2.00","1.63","5.50","36.23","-4.37","-1.41","0"
"O-291110176861607","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/27/19","5:39 PM","25.05","0","2.00","1.50","5.71","34.26","-4.06","-1.34","0"
"O-397810189708255","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/27/19","7:30 PM","16.55","0","0.00","0.99","0","17.54","-2.48","-0.83","0"
"O-931110067407406","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/16/19","6:52 PM","15.85","0","2.00","0.95","2.82","21.62","-2.68","-0.96","0"
"O-070010090273557","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/18/19","8:50 PM","24.35","0","2.00","1.46","4.17","31.98","-3.95","-1.28","0"
"O-397810139765970","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/23/19","1:07 PM","25.75","0","2.00","1.55","4.40","33.70","-4.16","-1.33","0"
"P-CAb5e898ffedaa290cbf5114af4c34bcdb","Oriental Express - Centreville Crest Ln","Phone Order",,"12/13/19","5:48 PM","0","0","0.00","0.00","0","0.00","-4.11","0","0"
"O-268609991951085","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/9/19","6:51 PM","16.10","0","2.00","0.97","2.86","21.93","-2.72","-0.97","0"
"O-397810159700283","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/25/19","12:08 PM","16.80","0","2.00","1.01","3.96","23.77","-2.82","-1.02","0"
"O-112810125527481","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/22/19","6:59 PM","23.75","0","2.00","1.43","5.43","32.61","-3.86","-1.29","0"
"O-957810048150982","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/14/19","7:41 PM","23.60","0","2.00","1.42","4.05","31.07","-3.84","-1.25","0"
"O-676610059306077","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/14/19","9:45 PM","28.55","0","2.00","1.71","4.84","37.10","-4.58","-1.43","0"
"O-632110024828899","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/12/19","6:56 PM","18.95","0","2.00","1.14","3.00","25.09","-3.14","-1.07","0"
"O-060910121723293","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/21/19","8:07 PM","34.05","0","2.00","2.04","5.71","43.80","-5.41","-1.64","0"
"O-182210144668005","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/24/19","7:31 PM","32.80","0","2.00","1.97","0","36.77","-5.22","-1.42","0"
"O-775810078202768","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/17/19","5:16 PM","28.10","0","2.00","1.69","4.77","36.56","-4.52","-1.42","0"
"O-989710194931749","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/29/19","6:30 PM","31.75","0","2.00","1.91","5.35","41.01","-5.06","-1.55","0"
"O-195210159848455","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/25/19","7:44 PM","46.45","0","2.00","2.79","6.00","57.24","-7.27","-2.05","0"
"P-CAab8b1043bc790cf7428456c358705784","Oriental Express - Centreville Crest Ln","Phone Order",,"12/16/19","5:47 PM","0","0","0.00","0.00","0","0.00","-4.12","0","0"
"O-536810067320602","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/16/19","1:06 PM","16.00","0","2.00","0.96","2.84","21.80","-2.70","-0.96","0"
"P-CAbee69236abe50919728a58db4f36883f","Oriental Express - Centreville Crest Ln","Phone Order",,"12/14/19","9:21 PM","0","0","0.00","0.00","0","0.00","-4.11","0","0"
"O-536810037322625","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/13/19","1:11 PM","15.50","0","2.00","0.93","1.84","20.27","-2.63","-0.92","0"
"O-337410006811635","Oriental Express - Centreville Crest Ln","Prepaid Order",,"12/10/19","6:42 PM","41.70","0","2.00","2.50","4.62","50.82","-6.56","-1.85","0"
