"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-954209431285151","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/19","6:33 PM","35.85","0","2.00","2.15","3.00","43.00","-5.68","-1.61","-2.15"
"O-518609490102738","Oriental Express - Centreville Crest Ln","Cash Order",,"10/20/19","6:10 PM","27.75","0","2.00","1.67","0","31.42","-4.46","0","0"
"O-819909424658376","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/13/19","8:07 PM","19.00","0","2.00","1.14","4.43","26.57","-3.15","-1.11","-1.14"
"O-518609530105745","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/24/19","7:19 PM","15.00","0","2.00","0.90","2.69","20.59","-2.55","-0.93","-0.90"
"O-330809518729371","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/22/19","5:44 PM","15.55","0","2.00","0.93","2.77","21.25","-2.63","-0.95","-0.93"
"O-025009430955099","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/19","6:12 PM","21.40","0","2.00","1.28","3.70","28.38","-3.51","-1.17","-1.28"
"O-172309515538005","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/21/19","9:29 PM","16.50","0","2.00","0.99","2.92","22.41","-2.78","-0.98","-0.99"
"O-240409607001177","Oriental Express - Centreville Crest Ln","Cash Order",,"10/31/19","7:30 PM","22.35","0","2.00","1.34","0","25.69","-3.65","0","0"
"O-767209325218023","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/3/19","12:56 PM","16.55","0","2.00","0.99","3.00","22.54","-2.78","-0.99","-0.99"
"O-119009547519583","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/25/19","7:23 PM","37.20","0","2.00","2.23","3.00","44.43","-5.88","-1.66","-2.23"
"O-861609388128678","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/9/19","7:53 PM","16.65","0","2.00","1.00","2.95","22.60","-2.80","-0.99","-1.00"
"O-528609524536445","Oriental Express - Centreville Crest Ln","Cash Order",,"10/23/19","8:21 PM","25.75","0","2.00","1.55","0","29.30","-4.16","0","0"
"O-823409498462455","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/20/19","12:41 PM","15.80","0","2.00","0.95","5.00","23.75","-2.67","-1.02","-0.95"
"O-823409488461471","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/19/19","2:17 PM","45.05","0","2.00","2.70","5.25","55.00","-7.06","-1.98","-2.70"
"O-240409587093319","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/29/19","12:11 PM","27.25","0","2.00","1.64","3.09","33.98","-4.39","-1.34","-1.64"
"P-CA800b45c671bbe3eb1874c1ac1d99976a","Oriental Express - Centreville Crest Ln","Phone Order",,"10/10/19","11:17 AM","0","0","0.00","0.00","0","0.00","-3.90","0","0"
"O-560809401052249","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/11/19","7:01 PM","31.85","0","2.00","1.91","5.36","41.12","-5.08","-1.55","-1.91"
"O-280409438738798","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/19","8:15 PM","30.35","0","2.00","1.82","0","34.17","-4.85","-1.34","-1.82"
"O-283409305387755","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/1/19","7:05 PM","25.95","0","2.00","1.56","2.00","31.51","-4.19","-1.26","-1.56"
"O-900209347906235","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/5/19","7:01 PM","45.05","0","2.00","2.70","5.35","55.10","-7.06","-1.98","-2.70"
"O-917909357534971","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/6/19","8:11 PM","22.90","0","2.00","1.37","5.25","31.52","-3.74","-1.26","-1.37"
"O-394809418636726","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/12/19","12:33 PM","18.95","0","2.00","1.14","3.31","25.40","-3.14","-1.07","-1.14"
"O-917909357504359","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/6/19","5:48 PM","15.75","0","2.00","0.95","1.87","20.57","-2.66","-0.93","-0.95"
"O-339509453831541","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/16/19","5:09 PM","27.75","0","2.00","1.67","6.28","37.70","-4.46","-1.45","-1.67"
"O-676209615484041","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/31/19","8:59 PM","34.00","0","2.00","2.04","5.71","43.75","-5.40","-1.63","0"
"O-191409490387459","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/20/19","7:33 PM","51.75","0","2.00","3.11","11.37","68.23","-8.06","-2.38","-3.11"
"O-816009519018990","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/22/19","6:12 PM","23.30","0","2.00","1.40","4.00","30.70","-3.80","-1.24","-1.40"
"P-CA32de53e0f7977181441672595731ce69","Oriental Express - Centreville Crest Ln","Phone Order",,"10/6/19","8:09 PM","0","0","0.00","0.00","0","0.00","-3.94","0","0"
"O-059309344579934","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/5/19","5:59 PM","16.90","0","2.00","1.01","4.00","23.91","-2.84","-1.03","-1.01"
"P-CAce2a3937757f563a6c2e98bb4843e149","Oriental Express - Centreville Crest Ln","Phone Order",,"10/9/19","8:15 PM","0","0","0.00","0.00","0","0.00","-3.90","0","0"
"O-819909434603014","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/19","1:38 PM","16.05","0","2.00","0.96","2.85","21.86","-2.71","-0.97","-0.96"
"O-940909404814325","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/11/19","2:53 PM","26.75","0","2.00","1.61","2.00","32.36","-4.31","-1.29","-1.61"
"O-190809533299830","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/24/19","6:51 PM","19.00","0","2.00","1.14","3.32","25.46","-3.15","-1.08","-1.14"
"O-059309374521775","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/8/19","8:05 PM","42.95","0","2.00","2.58","7.00","54.53","-6.74","-1.96","-2.58"
"O-442909567674371","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/27/19","12:57 PM","18.50","0","2.00","1.11","3.24","24.85","-3.08","-1.06","-1.11"
"O-833309347674195","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/4/19","9:35 PM","17.00","0","2.00","1.02","3.00","23.02","-2.85","-1.00","-1.02"
"O-144509356854231","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/6/19","2:28 PM","16.30","0","2.00","0.98","2.89","22.17","-2.75","-0.98","-0.98"
"O-205109358038238","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/6/19","3:17 PM","46.40","0","2.00","2.78","7.68","58.86","-7.26","-2.10","-2.78"
"O-107009429533524","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/13/19","1:59 PM","20.30","0","2.00","1.22","4.70","28.22","-3.35","-1.16","-1.22"
"O-048409463008922","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/16/19","8:48 PM","16.50","0","2.00","0.99","2.92","22.41","-2.78","-0.98","-0.99"
"O-307109538245889","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/24/19","7:07 PM","43.20","0","2.00","2.59","7.17","54.96","-6.78","-1.98","-2.59"
"O-305809475505339","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/18/19","7:21 PM","27.55","0","2.00","1.65","3.12","34.32","-4.43","-1.35","-1.65"
"O-173809417096066","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/11/19","9:26 PM","35.20","0","2.00","2.11","3.93","43.24","-5.58","-1.62","-2.11"
"O-144509406823042","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/11/19","7:05 PM","43.35","0","2.00","2.60","9.59","57.54","-6.80","-2.05","-2.60"
"O-560809321051342","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/3/19","7:14 PM","29.90","0","2.00","1.79","6.74","40.43","-4.79","-1.53","-1.79"
"O-173809397029458","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/10/19","6:51 PM","30.75","0","2.00","1.85","5.19","39.79","-4.91","-1.51","-1.85"
"O-013109481094354","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/19/19","5:02 PM","15.65","0","2.00","0.94","2.00","20.59","-2.65","-0.93","-0.94"
"O-528609504565903","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/20/19","9:23 PM","30.45","0","2.00","1.83","5.14","39.42","-4.87","-1.50","-1.83"
"O-569809343435195","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/5/19","1:12 PM","32.50","0","2.00","1.95","3.64","40.09","-5.18","-1.52","-1.95"
"O-535409560909528","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/27/19","5:48 PM","21.80","0","2.00","1.31","2.51","27.62","-3.57","-1.14","-1.31"
"O-896709392667441","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/10/19","1:08 PM","21.40","0","2.00","1.28","2.32","27.00","-3.51","-1.12","-1.28"
"O-097209360152613","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/6/19","9:02 PM","29.10","0","2.00","1.75","0","32.85","-4.67","-1.30","-1.75"
"O-140809455865136","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/16/19","7:09 PM","16.05","0","2.00","0.96","2.85","21.86","-2.71","-0.97","-0.96"
"O-275709526900468","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/23/19","5:55 PM","29.75","0","2.00","1.79","5.03","38.57","-4.76","-1.48","-1.79"
"O-962109542386513","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/25/19","8:36 PM","17.50","0","2.00","1.05","3.08","23.63","-2.93","-1.02","-1.05"
"O-502109557257610","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/26/19","4:42 PM","18.00","0","2.00","1.08","3.16","24.24","-3.00","-1.04","-1.08"
"O-120109431959161","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/14/19","6:34 PM","37.20","0","2.00","2.23","4.00","45.43","-5.88","-1.69","-2.23"
"O-380709604132861","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/30/19","9:48 PM","31.30","0","2.00","1.88","7.04","42.22","-5.00","-1.59","0"
"O-823409538466048","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/24/19","6:29 PM","17.55","0","2.00","1.05","4.12","24.72","-2.93","-1.05","-1.05"
"O-172309505554376","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/21/19","3:09 PM","16.35","0","2.00","0.98","4.00","23.33","-2.75","-1.01","-0.98"
"O-971509325939031","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/3/19","2:16 PM","23.05","0","2.00","1.38","5.29","31.72","-3.76","-1.27","-1.38"
"O-157909328750633","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/2/19","9:35 PM","17.85","0","2.00","1.07","4.18","25.10","-2.98","-1.07","-1.07"
"O-157909368797772","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/7/19","1:40 PM","15.10","0","0.00","0.91","0","16.01","-2.27","-0.79","-0.91"
"O-825509348370754","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/5/19","6:14 PM","36.15","0","2.00","2.17","5.00","45.32","-5.72","-1.68","-2.17"
"O-949309386829637","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/9/19","7:18 PM","23.05","0","2.00","1.38","5.29","31.72","-3.76","-1.27","-1.38"
"O-119009547564841","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/25/19","8:05 PM","30.80","0","2.00","1.85","5.20","39.85","-4.92","-1.52","-1.85"
"O-205109348057812","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/4/19","10:06 PM","18.65","0","2.00","1.12","4.35","26.12","-3.10","-1.10","-1.12"
"O-112409584630301","Oriental Express - Centreville Crest Ln","Prepaid Order",,"10/29/19","6:37 PM","18.30","0","2.00","1.10","3.21","24.61","-3.05","-1.05","-1.10"
