ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Processing Fee,Withheld Tax
O-548807056436937,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/17/19,8:46 PM,41.25,0,2,2.48,6.86,52.59,-6.49,-1.9,0
O-345507054843313,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/18/19,5:41 PM,26.45,0,2,1.59,4.51,34.55,-4.27,-1.35,0
O-706207130777181,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/19,12:27 PM,28.95,0,2,1.74,4.9,37.59,-4.64,-1.45,0
O-510106926255313,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/4/19,7:48 PM,21.1,0,2,1.27,4.87,29.24,-3.47,-1.19,0
O-345507014834155,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/14/19,6:48 PM,19.55,0,2,1.17,3.41,26.13,-3.23,-1.1,0
O-755707009877013,Oriental Express - Centreville Crest Ln,,,2/13/19,1:42 PM,26.85,0,2,1.61,4.57,35.03,-4.33,-1.37,0
O-327407097031423,Oriental Express - Centreville Crest Ln,,,2/21/19,7:14 PM,16.1,0,2,0.97,2.86,21.93,-2.72,-0.97,0
O-569907036853020,Oriental Express - Centreville Crest Ln,,,2/16/19,6:06 PM,19.25,0,2,1.16,3.36,25.77,-3.19,-1.09,0
O-231406909210982,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/2/19,10:27 PM,18.3,0,2,1.1,4,25.4,-3.05,-1.07,0
O-548807006442680,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/13/19,1:19 PM,7.05,0,0,0.42,1.12,8.59,-1.06,-0.56,0
O-763907120861179,Oriental Express - Centreville Crest Ln,Cash Order,,2/25/19,5:12 PM,37.75,0,2,2.27,0,42.02,-5.96,0,0
O-141106930513925,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/6/19,6:32 PM,41.7,0,2,2.5,6.93,53.13,-6.56,-1.92,0
O-569907136807737,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/19,2:11 PM,16.15,0,2,0.97,0,19.12,-2.72,-0.88,0
O-511406977443031,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/10/19,5:19 PM,33.8,0,2,2.03,3.78,41.61,-5.37,-1.57,0
O-548807076442808,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/20/19,12:43 PM,15.1,0,2,0.91,3.6,21.61,-2.57,-0.96,0
O-260007143246894,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/19,9:27 PM,29.2,0,2,1.75,6.59,39.54,-4.68,-1.51,0
O-823607051165178,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/17/19,7:38 PM,29.75,0,2,1.79,3,36.54,-4.76,-1.41,0
O-548806976434363,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/9/19,9:17 PM,15,0,2,0.9,1.79,19.69,-2.55,-0.9,0
O-755707139890981,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/19,12:16 PM,31,0,2,1.86,0,34.86,-4.95,-1.36,0
O-875906963647647,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/8/19,8:59 PM,16.85,0,2,1.01,3.97,23.83,-2.83,-1.03,0
O-785106978816164,Oriental Express - Centreville Crest Ln,Cash Order,,2/9/19,8:03 PM,22.6,0,2,1.36,0,29.62,-3.69,0,0
O-027207055446683,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/18/19,5:44 PM,18.6,0,2,1.12,3.26,24.98,-3.09,-1.06,0
O-260007093200084,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/22/19,12:30 PM,23.15,0,2,1.39,5.31,31.85,-3.77,-1.27,0
O-696006982702153,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/10/19,7:16 PM,34.3,0,2,2.06,7.67,46.03,-5.45,-1.7,0
O-569906996809810,Oriental Express - Centreville Crest Ln,Cash Order,,2/12/19,4:21 PM,48.75,0,2,2.93,0,53.68,-7.61,0,0
O-875907103609672,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/23/19,5:13 PM,52.8,0,2,3.17,8.7,66.67,-8.22,-2.33,0
O-563907072826612,Oriental Express - Centreville Crest Ln,Cash Order,,2/20/19,1:28 PM,13.5,0,0,0.81,0,14.31,-2.03,0,0
O-563907132861097,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/25/19,9:09 PM,25.3,0,2,1.52,5.76,34.58,-4.1,-1.35,0
O-345507004821084,Oriental Express - Centreville Crest Ln,,,2/12/19,7:14 PM,16.5,0,0,0.99,0.87,18.36,-2.48,-0.86,0
O-563907152868553,Oriental Express - Centreville Crest Ln,,,2/27/19,7:10 PM,29.45,0,2,1.77,4,37.22,-4.72,-1.44,0
O-706207160769984,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/28/19,9:31 PM,25.8,0,2,1.55,2.94,32.29,-4.17,-1.28,0
O-735807130002668,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/26/19,6:05 PM,31.05,0,2,1.86,5.23,40.14,-4.96,-1.52,0
O-959407016386027,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/13/19,7:02 PM,29.65,0,2,1.78,3.34,36.77,-4.75,-1.42,0
O-959407076350875,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/20/19,5:49 PM,16.3,0,2,0.98,5,24.28,-2.75,-1.04,0
P-69508651,Oriental Express - Centreville Crest Ln,Phone Order,,2/19/19,4:50 PM,0,0,0,0,0,0,-3.91,0,0
O-706207160766702,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/28/19,9:12 PM,20.3,0,2,1.22,3.53,27.05,-3.35,-1.13,0
O-345507004846181,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/13/19,6:39 PM,17.3,0,2,1.04,3.05,23.39,-2.9,-1.01,0
O-893907032925604,Oriental Express - Centreville Crest Ln,Prepaid Order,,2/15/19,8:19 PM,21,0,0,1.26,0,22.26,-3.15,-0.98,0
