"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-504308848896986","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/16/19","3:47 PM","15.85","0","2.00","0.95","1.88","20.68","-2.68","-0.93","0"
"O-952008766926616","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/8/19","7:16 PM","24.40","0","2.00","1.46","4.18","32.04","-3.96","-1.28","0"
"O-737708924569078","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/24/19","8:03 PM","29.25","0","0.00","1.76","0","31.01","-4.39","-1.25","0"
"O-723608712590916","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/3/19","6:19 PM","33.70","0","2.00","2.02","5.00","42.72","-5.36","-1.60","0"
"O-901508738778874","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/5/19","7:02 PM","20.30","0","2.00","1.22","3.53","27.05","-3.35","-1.13","0"
"O-807108854282771","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/17/19","11:59 AM","36.10","0","2.00","2.17","6.04","46.31","-5.72","-1.71","0"
"O-206708733184916","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/5/19","5:59 PM","21.70","0","2.00","1.30","5.00","30.00","-3.56","-1.22","0"
"O-339008900888022","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/22/19","8:00 PM","28.25","0","2.00","1.70","5.00","36.95","-4.54","-1.43","0"
"O-077608804575339","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/11/19","9:01 PM","27.25","0","2.00","1.64","6.18","37.07","-4.39","-1.43","0"
"O-360008955313977","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/27/19","8:32 PM","34.80","0","2.00","2.09","9.72","48.61","-5.52","-1.78","0"
"O-531208911159145","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/23/19","7:37 PM","21.50","0","2.00","1.29","4.96","29.75","-3.53","-1.21","0"
"O-585108790105190","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/11/19","7:12 PM","32.05","0","2.00","1.92","5.40","41.37","-5.11","-1.56","0"
"O-728708721097852","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/4/19","1:57 PM","18.75","0","2.00","1.13","3.00","24.88","-3.11","-1.06","0"
"O-735708856586546","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/17/19","4:36 PM","21.80","0","2.00","1.31","3.77","28.88","-3.57","-1.18","0"
"O-112308977206081","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/29/19","7:13 PM","23.10","0","2.00","1.39","5.30","31.79","-3.77","-1.27","0"
"O-376708956940837","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/27/19","6:54 PM","15.80","0","2.00","0.95","3.75","22.50","-2.67","-0.99","0"
"O-551608954519395","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/27/19","4:45 PM","19.50","0","2.00","1.17","0","22.67","-3.23","-0.99","0"
"O-716308783295403","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/10/19","7:39 PM","29.45","0","2.00","1.77","4.98","38.20","-4.72","-1.47","0"
"O-158608911512431","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/22/19","9:25 PM","16.90","0","2.00","1.01","2.99","22.90","-2.84","-1.00","0"
"O-929708894095332","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/21/19","6:18 PM","16.35","0","2.00","0.98","2.50","21.83","-2.75","-0.97","0"
"O-077608774579415","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/8/19","9:19 PM","31.35","0","2.00","1.88","5.28","40.51","-5.00","-1.54","0"
"O-822808809784025","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/12/19","7:03 PM","15.00","0","2.00","0.90","2.69","20.59","-2.55","-0.93","0"
"O-294408841244630","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/16/19","1:32 PM","18.75","0","2.00","1.13","5.00","26.88","-3.11","-1.12","0"
"O-084408881573242","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/20/19","7:04 PM","31.65","0","2.00","1.90","5.33","40.88","-5.05","-1.55","0"
"O-323608805373764","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/12/19","11:45 AM","23.05","0","2.00","1.38","3.57","30.00","-3.76","-1.22","0"
"O-540209008019553","Oriental Express - Centreville Crest Ln","Prepaid Order",,"8/31/19","9:24 PM","33.45","0","2.00","2.01","0","37.46","-5.32","-1.44","0"
