"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-177507471734437","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/1/19","6:11 PM","31.20","0","2.00","1.87","5.26","40.33","-4.98","-1.53","0"
"O-647007540652375","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/8/19","5:53 PM","47.25","0","0.00","2.84","5.22","0.00","-7.39","-2.05","0"
"O-929907663283724","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/19/19","8:48 PM","30.80","0","0.00","1.85","5.21","-0.08","-4.92","-1.52","0"
"O-457507729112659","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/25/19","9:03 PM","21.55","0","2.00","1.29","3.72","28.56","-3.53","-1.17","0"
"O-989007661746612","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/20/19","1:48 PM","7.75","0","0.00","0.47","0","8.22","-1.16","-0.55","0"
"O-614707712385041","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/25/19","5:57 PM","17.20","0","0.00","1.03","3.05","0.00","-2.88","-1.01","0"
"O-702807534451010","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/7/19","7:36 PM","22.40","0","2.00","1.34","5.15","30.89","-3.66","-1.24","0"
"O-717607513257476","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/5/19","7:33 PM","24.55","0","2.00","1.47","4.20","32.22","-3.98","-1.28","0"
"O-337307701541196","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/24/19","4:58 PM","21.80","0","2.00","1.31","3.00","28.11","-3.57","-1.16","0"
"O-614707742387197","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/27/19","9:35 PM","16.30","0","2.00","0.98","3.86","23.14","-2.75","-1.01","0"
"O-044007470071100","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/1/19","5:29 PM","37.30","0","0.00","2.24","0","39.54","-5.60","-1.51","0"
"O-120007750447811","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/29/19","7:48 PM","21.55","0","2.00","1.29","3.73","28.57","-3.53","-1.17","0"
"O-626207542815694","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/8/19","8:23 PM","27.55","0","2.00","1.65","8.00","39.20","-4.43","-1.50","0"
"O-391107486515384","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/2/19","7:27 PM","49.55","0","2.00","2.97","5.45","59.97","-7.73","-2.13","0"
"O-328607599001263","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/12/19","9:25 PM","15.80","0","0.00","0.95","3.00","0.00","-2.67","-0.97","0"
"O-647007550603373","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/9/19","8:16 PM","15.25","0","2.00","0.92","1.82","19.99","-2.59","-0.91","0"
"O-195207601154316","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/14/19","6:45 PM","37.85","0","0.00","2.27","8.44","-0.38","-5.98","-1.84","0"
"O-165707711127224","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/25/19","5:13 PM","37.55","0","0.00","2.25","5.00","0.00","-5.93","-1.73","0"
"O-473307670805547","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/20/19","9:31 PM","15.55","0","0.00","0.93","2.78","-0.68","-2.63","-0.95","0"
"O-316207564754327","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/10/19","8:01 PM","29.20","0","0.00","1.75","4.08","-0.88","-4.68","-1.43","0"
"O-328607589054967","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/12/19","7:56 PM","42.20","0","0.00","2.53","9.36","0.00","-6.63","-2.01","0"
"O-864207747882882","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/28/19","6:28 PM","18.80","0","0.00","1.13","0","19.93","-2.82","-0.91","0"
"O-395907503428014","Oriental Express - Centreville Crest Ln","Prepaid Order",,"4/4/19","6:33 PM","21.40","0","2.00","1.28","3.70","28.38","-3.51","-1.17","0"
"O-386407594538934","Oriental Express - Centreville Crest Ln","Cash Order",,"4/12/19","10:41 PM","19.80","0","0.00","1.19","0","0.00","-3.27","0","0"
