"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-569907176801598","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/2/19","11:51 AM","27.20","0","2.00","1.63","7.71","38.54","-4.38","-1.48","0"
"O-857807283565883","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/13/19","5:46 PM","11.60","0","0.00","0.70","1.85","14.15","-1.74","-0.73","0"
"O-714507334167514","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/17/19","8:04 PM","21.60","0","2.00","1.30","0","24.90","-3.54","-1.06","0"
"O-918607403420961","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/25/19","11:18 AM","52.70","0","2.00","3.16","5.78","63.64","-8.21","-2.24","0"
"O-681907411236190","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/26/19","5:02 PM","26.70","0","2.00","1.60","6.06","36.36","-4.31","-1.41","0"
"O-203907214339371","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/6/19","6:52 PM","25.75","0","2.00","1.55","3.00","32.30","-4.16","-1.29","0"
"O-489607383580040","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/23/19","5:10 PM","22.10","0","2.00","1.33","5.09","30.52","-3.62","-1.23","0"
"O-756007448040327","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/29/19","5:43 PM","26.75","0","2.00","1.61","4.55","34.91","-4.31","-1.36","0"
"O-470407393912613","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/19","1:14 PM","19.30","0","2.00","1.16","3.37","25.83","-3.20","-1.09","0"
"O-125807397180536","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/19","7:34 PM","25.55","0","2.00","1.53","2.91","31.99","-4.13","-1.28","0"
"O-419307429092104","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/27/19","4:52 PM","16.30","0","2.00","0.98","3.85","23.13","-2.75","-1.01","0"
"O-336207239481058","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/8/19","5:49 PM","20.00","0","2.00","1.20","5.00","28.20","-3.30","-1.16","0"
"O-311707235207252","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/8/19","4:45 PM","22.40","0","2.00","1.34","3.86","29.60","-3.66","-1.20","0"
"P-70218619","Oriental Express - Centreville Crest Ln","Phone Order",,"3/1/19","8:50 PM","0","0","0.00","0.00","0","0.00","-4.29","0","0"
"O-808107451607108","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/30/19","3:12 PM","25.05","0","2.00","1.50","4.28","32.83","-4.06","-1.30","0"
"O-707007337823519","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/18/19","4:30 PM","34.95","0","2.00","2.10","3.91","42.96","-5.54","-1.61","0"
"O-681907451226088","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/30/19","7:26 PM","15.45","0","2.00","0.93","1.84","20.22","-2.62","-0.92","0"
"O-003507196794535","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/4/19","6:29 PM","15.30","0","0.00","0.92","0.81","17.03","-2.30","-0.82","0"
"O-391107476571619","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/31/19","8:29 PM","16.30","0","2.00","0.98","2.89","22.17","-2.75","-0.98","0"
"O-786107399527341","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/19","6:55 PM","43.65","0","2.00","2.62","9.65","57.92","-6.85","-2.07","0"
"O-222707292252059","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/14/19","7:53 PM","18.80","0","2.00","1.13","4.39","26.32","-3.12","-1.10","0"
"O-272107395831335","Oriental Express - Centreville Crest Ln","Adjustment of O-272107395831335","This additional charge is for a tip added to the order by a restaurant.","3/24/19","1:51 PM","0","0","0.00","0.00","0","2.12","0","0","0"
"O-542907440974801","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/29/19","7:01 PM","15.50","0","2.00","0.93","2.76","21.19","-2.63","-0.95","0"
"O-281207208771331","Oriental Express - Centreville Crest Ln","Cash Order",,"3/4/19","7:19 PM","24.10","0","2.00","1.45","0","27.55","-3.92","0","0"
"O-012007355419156","Oriental Express - Centreville Crest Ln","Cash Order",,"3/19/19","8:29 PM","20.10","0","2.00","1.21","0","23.31","-3.32","0","0"
"O-763907190814306","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/3/19","7:01 PM","31.90","0","2.00","1.91","3.00","38.81","-5.09","-1.48","0"
"O-203907234373383","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/8/19","4:47 PM","23.85","0","2.00","1.43","4.09","31.37","-3.88","-1.26","0"
"O-242507287405542","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/13/19","7:09 PM","18.50","0","2.00","1.11","3.24","24.85","-3.08","-1.06","0"
"O-419107296181360","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/14/19","3:09 PM","32.20","0","2.00","1.93","5.42","41.55","-5.13","-1.57","0"
"O-707007307860205","Oriental Express - Centreville Crest Ln","Cash Order",,"3/15/19","12:30 PM","20.50","0","2.00","1.23","0","23.73","-3.38","0","0"
"O-063807398208580","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/19","12:34 PM","15.60","0","2.00","0.94","3.71","22.25","-2.64","-0.98","0"
"O-750207293205754","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/14/19","1:43 PM","20.85","0","2.00","1.25","5.00","29.10","-3.43","-1.19","0"
"O-681907461225434","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/31/19","7:16 PM","22.75","0","2.00","1.37","3.92","30.04","-3.71","-1.22","0"
"O-327407187082513","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/3/19","6:08 PM","9.85","0","0.00","0.59","0","10.44","-1.48","-0.62","0"
"O-530307207878690","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/5/19","11:39 AM","17.80","0","2.00","1.07","3.13","24.00","-2.97","-1.03","0"
"O-704707232179277","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/8/19","6:28 PM","45.70","0","2.00","2.74","7.57","58.01","-7.16","-2.07","0"
"O-733607267272618","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/11/19","7:38 PM","21.10","0","2.00","1.27","3.66","28.03","-3.47","-1.15","0"
"O-548807176431194","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/1/19","9:07 PM","36.50","0","2.00","2.19","6.10","46.79","-5.78","-1.73","0"
"O-203907224339945","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/7/19","6:51 PM","18.80","0","2.00","1.13","4.39","26.32","-3.12","-1.10","0"
"P-72167606","Oriental Express - Centreville Crest Ln","Phone Order",,"3/31/19","3:35 PM","0","0","0.00","0.00","0","0.00","-4.02","0","0"
"O-842007370661886","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/22/19","5:02 PM","41.05","0","2.00","2.46","6.83","52.34","-6.46","-1.90","0"
"O-656107383766980","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/23/19","6:41 PM","27.30","0","2.00","1.64","6.18","37.12","-4.40","-1.43","0"
"O-719507259945151","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/10/19","7:59 PM","19.20","0","2.00","1.15","3.35","25.70","-3.18","-1.08","0"
"P-70881886","Oriental Express - Centreville Crest Ln","Phone Order",,"3/11/19","4:10 PM","0","0","0.00","0.00","0","0.00","-4.12","0","0"
"O-497007377250004","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/22/19","6:12 PM","41.30","0","2.00","2.48","5.00","50.78","-6.50","-1.85","0"
"O-823607161146380","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/1/19","4:50 PM","48.80","0","2.00","2.93","8.06","61.79","-7.62","-2.18","0"
"O-857807263538043","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/11/19","4:40 PM","20.10","0","2.00","1.21","3.50","26.81","-3.32","-1.12","0"
"O-842007390635591","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/24/19","6:40 PM","30.55","0","2.00","1.83","5.16","39.54","-4.88","-1.51","0"
"O-176607274885613","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/12/19","4:03 PM","21.60","0","2.00","1.30","2.49","27.39","-3.54","-1.14","0"
"O-546407386422469","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/23/19","2:17 PM","7.55","0","0.00","0.45","0.40","8.40","-1.13","-0.56","0"
"O-193607335315790","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/18/19","4:19 PM","19.60","0","2.00","1.18","3.41","26.19","-3.24","-1.10","0"
"O-501107460563294","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/30/19","10:38 PM","24.35","0","2.00","1.46","3.86","31.67","-3.95","-1.27","0"
"O-704707222100676","Oriental Express - Centreville Crest Ln","Cash Order",,"3/6/19","9:00 PM","15.55","0","2.00","0.93","0","18.48","-2.63","0","0"
"O-918607383436714","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/23/19","6:28 PM","28.45","0","0.00","1.71","0","30.16","-4.27","-1.22","0"
"O-260007163209378","Oriental Express - Centreville Crest Ln","Prepaid Order",,"3/1/19","11:09 AM","53.20","0","2.00","3.19","8.76","67.15","-8.28","-2.35","0"
