"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-965008031261250","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/19","2:33 PM","31.85","0","2.00","1.91","5.36","41.12","-5.08","-1.55","0"
"O-206607932028448","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/17/19","8:23 PM","15.05","0","2.00","0.90","1.00","18.95","-2.56","-0.88","0"
"O-994808017389312","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/24/19","9:22 PM","26.10","0","2.00","1.57","4.45","34.12","-4.22","-1.34","0"
"O-752908020077871","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/25/19","9:44 PM","28.65","0","2.00","1.72","4.85","37.22","-4.60","-1.44","0"
"P-75633454","Oriental Express - Centreville Crest Ln","Phone Order",,"5/27/19","5:50 PM","0","0","0.00","0.00","0","0.00","-4.10","0","0"
"O-107907870059684","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/19","8:35 PM","21.50","0","2.00","1.29","3.72","28.51","-3.53","-1.17","0"
"O-206607952023524","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/19/19","7:47 PM","20.30","0","2.00","1.22","3.53","27.05","-3.35","-1.13","0"
"O-990707899704791","Oriental Express - Centreville Crest Ln","Cash Order",,"5/13/19","1:32 PM","20.35","0","2.00","1.22","0","27.11","-3.35","0","0"
"O-824307856638938","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/9/19","12:21 PM","15.70","0","2.00","0.94","5.00","23.64","-2.66","-1.02","0"
"O-355808055497734","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/29/19","5:15 PM","15.00","0","2.00","0.90","2.69","20.59","-2.55","-0.93","0"
"O-292107881711826","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/11/19","11:00 PM","30.90","0","2.00","1.85","3.48","38.23","-4.94","-1.47","0"
"O-245107770451390","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/1/19","1:36 PM","19.20","0","2.00","1.15","2.24","24.59","-3.18","-1.05","0"
"O-594707780672003","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/2/19","5:42 PM","23.55","0","2.00","1.41","2.70","29.66","-3.83","-1.20","0"
"O-091407962502807","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/20/19","5:43 PM","41.35","0","2.00","2.48","4.58","50.41","-6.50","-1.84","0"
"O-965008031213431","Oriental Express - Centreville Crest Ln","Prepaid Order",,"5/27/19","7:36 PM","26.35","0","2.00","1.58","4.48","34.41","-4.25","-1.35","0"
"O-892908012263366","Oriental Express - Centreville Crest Ln","Cash Order",,"5/24/19","9:24 PM","20.30","0","2.00","1.22","0","23.52","-3.35","0","0"
